"SPName","FoundInCSharp","CSharpFiles"
"sp_UnlockMarksEntry","False",""
"sp_Notification_Enqueue","False",""
"sp_BulkGenerateReportCards","False",""
"SP_ReportCard_Generate","False",""
"sp_CalculateExamResults","False",""
"sp_CalculateFinalPositions","False",""
"sp_CalculateMerit","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Result\AdminResultController.cs"
"sp_CalculateSubjectResults","False",""
"sp_GetReportCard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\StudentExamResultRepository.cs"
"sp_GetResultList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\StudentExamResultRepository.cs"
"sp_GetResultPublicationDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\ResultPublicationRepository.cs"
"sp_GetResultSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Result\AdminResultController.cs; G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\StudentExamResultRepository.cs"
"sp_GetStudentResults","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\StudentExamResultRepository.cs"
"sp_GetTranscript","False",""
"sp_PublishResults","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Result\AdminResultController.cs"
"sp_RecalculateResults","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Result\AdminResultController.cs"
"sp_UnpublishResults","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Result\AdminResultController.cs"
"sp_CalculateExamRanking","False",""
"sp_GetExamsForAdmin","False",""
"sp_GetMarkEntrySheet","False",""
"sp_GetRoleList","False",""
"sp_GetClassRoutineGrid","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetRoomScheduleGrid","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetRoomUtilization","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetRoutineAnalytics","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetRoutineDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetRoutineEntriesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetTeacherLoadSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetTeacherRoutineGrid","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Routine\RoutineRepositories.cs"
"sp_GetStudentAssignmentsPaged","False",""
"sp_GetStudentInvoicesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\StudentFinanceRepository.cs"
"sp_GetStudentLedgerPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\StudentFinanceRepository.cs"
"sp_GetStudentLibraryPaged","False",""
"sp_GetStudentNotificationsPaged","False",""
"sp_GetStudentPaymentsPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\StudentFinanceRepository.cs"
"SP_System_DashboardMetrics","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Admin\MonitoringController.cs; G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Admin\SystemHealthController.cs"
"SP_System_DatabaseHealth","True","G:\PROJECT .NET\SchoolMS\clonelatest\Controllers\Admin\SystemHealthController.cs"
"SP_System_VerifyStoredProcedures","False",""
"sp_GetTeacherAssignedExams","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\TeacherResultRepository.cs"
"sp_GetTeacherAssignedSubjects","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\TeacherResultRepository.cs"
"sp_GetTeacherDashboardMarkStatus","False",""
"sp_GetTeacherDashboardPendingResults","False",""
"sp_GetTeacherDashboardSchedule","False",""
"sp_GetTeacherList","False",""
"sp_GetUserList","False",""
